Jawa Timur, latitude, longitude

Kabupaten Banyuwangi,-8.2186111,114.3669444
Kabupaten Madiun,-7.627753,111.505483
Kabupaten Ponorogo,-7.867827,111.466003
Kabupaten Magetan,-7.6493413,111.3381593
Kabupaten Pacitan,-8.204614,111.08769
Kabupaten Ngawi,-7.38993,111.46193
Kabupaten Bangkalan,-7.0306912,112.7450068
Kabupaten Kediri,-7.809356,112.032356
Kabupaten Bondowoso,-7.917704,113.813483
Kabupaten Blitar,-8.1014419,112.162762
Kabupaten Trenggalek,-8.05,111.7166667
Kabupaten Tulungagung,-8.0666667,111.9
Kabupaten Nganjuk,-7.602932,111.901808
Kabupaten Situbondo,-7.702534,113.955605
Kabupaten Malang,-8.0495643,112.6884549
Kabupaten Jember,-8.172357,113.700302
Kabupaten Sumenep,-6.9253999,113.9060624
Kabupaten Pasuruan,-6.8623098,108.8001936
Kabupaten Pamekasan,-7.1666667,113.4666667
Kabupaten Probolinggo,-7.753965,113.210675
Kabupaten Lumajang,-8.137022,113.226601
Kabupaten Bojonegoro,-8.7493146,115.1711298
Kabupaten Tuban,-7.406153,109.3946794
Kabupaten Lamongan,-7.406153,109.3946794
Kabupaten Sidoarjo,-7.4530278,112.7173389
Kabupaten Sampang,-7.5782556,109.2058436
Kabupaten Mojokerto,-7.488075,112.427027
Kabupaten Gresik,-7.15665,112.6555
Kabupaten Jombang,-7.5468395,112.2264794
Kota Mojokerto,-7.4722222,112.4336111
Kota Surabaya,-7.289166,112.734398
Kota Madiun,-7.629714,111.513702
Kota Blitar,-8.1,112.15
Kota Malang,-7.981894,112.626503
Kota Batu,-7.8671,112.5239
Kota Pasuruan,-7.644872,112.903297
Kota Kediri,-7.816895,112.011398
Kota Probolinggo,-7.756928,113.211502
