Jawa Tengah, latitude, longitude

Kabupaten Cilacap, -7.733333,109
Kabupaten Banyumas, -7.4832133,109.140438
Kabupaten Purbalingga, -7.390747,109.3638
Kabupaten Banjarnegara, -7.402706,109.681396
Kabupaten Kebumen, -7.678682,109.656502
Kabupaten Purworejo, -7.709731,110.008003
Kabupaten Wonosobo, -7.362109,109.899399
Kabupaten Magelang, -7.481253,110.213799
Kabupaten Boyolali, -7.523819,110.595901
Kabupaten Klaten, -7.711687,110.595497
Kabupaten Sukoharjo, -7.6808818,110.8195292
Kabupaten Wonogiri, -7.817782,110.920601
Kabupaten Karanganyar, -7.5961111,110.9508333
Kabupaten Sragen, -7.430229,111.021301
Kabupaten Grobogan, -7.0217194,110.9625854
Kabupaten Blora, -6.95,111.4166667
Kabupaten Rembang, -6.71124,111.345299
Kabupaten Pati, -6.751338,111.038002
Kabupaten Kudus, -6.804087,110.838203
Kabupaten Jepara, -6.5596059,110.6717
Kabupaten Demak, -6.888115,110.639297
Kabupaten Semarang, -6.9666667,110.4166667
Kabupaten Temanggung, -7.316669,110.174797
Kabupaten Kendal, -6.919686,110.205597
Kabupaten Batang, -6.8941111,109.7234519
Kabupaten Pekalongan, -6.882887,109.669998
Kabupaten Pemalang, -6.884234,109.377998
Kabupaten Tegal, -6.8666667,109.1333333
Kabupaten Brebes, -6.8833333,109.05
Kota Magelang, -7.481253,110.213799
Kota Surakarta, -7.5666667,110.8166667
Kota Salatiga, -7.302328,110.4729
Kota Semarang, -6.9666667,110.4166667
Kota Pekalongan, -6.882887,109.669998
Kota Tegal, -6.8666667,109.1333333
